DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
201211449,04/24/2020,04/24/2020,0005,12,77th Street,1265,997,TRAFFIC COLLISION,4025 3036 3006 3028 3039 3101,40,F,H,101,STREET,S  NORMANDIE                    AV,W  80TH                         ST,"(33.9664, -118.3003)",23678,781,1242,7,14,20
191920612,12/15/2019,12/15/2019,0005,19,Mission,1916,997,TRAFFIC COLLISION,3006 3028 3030 3037 3101 4019,,M,H,101,STREET,RAVEN                        ST,DRONFIELD                    AV,"(34.3055, -118.4406)",18912,43,1401,,1,47
190918599,10/20/2019,10/20/2019,0005,09,Van Nuys,0909,997,TRAFFIC COLLISION,4009 3004 3028 3030 3035 3101 3401 3701 3037,36,M,H,101,STREET,VALERIO                      ST,VENTURA CANYON               AV,"(34.2049, -118.4313)",19733,217,469,,5,18
190126693,11/06/2019,11/06/2019,0005,01,Central,0118,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030,55,M,W,101,STREET,N  MAIN                         ST,WILHARDT                     ST,"(34.0677, -118.2259)",22728,531,886,1,11,28
200706085,02/14/2020,02/14/2020,0005,07,Wilshire,0701,997,TRAFFIC COLLISION,3006 3028 3035 3037 3101 3401 3701 4007,19,M,O,,,00,,"(34.0837, -118.3712)",24034,461,801,,6,26
191229033,12/15/2019,12/15/2019,0005,12,77th Street,1266,997,TRAFFIC COLLISION,4012 3037 3028 3030 3006 0605,18,X,X,101,STREET,FIGUEROA                     ST,S  81ST                         ST,"(33.966, -118.2827)",23675,782,1360,7,14,45
190221050,11/03/2019,11/03/2019,0005,02,Rampart,0235,997,TRAFFIC COLLISION,3101 3401 3701 3003 3025 1218,49,F,W,101,STREET,BEVERLY,ROSELAKE,"(34.0675, -118.2722)",23444,554,518,,8,31
190324081,11/06/2019,11/06/2019,0005,03,Southwest,0354,997,TRAFFIC COLLISION,3037 4025 3003 3024 1218 3101,42,M,B,101,STREET,JEFFERSON,9TH,"(34.0256, -118.3272)",23079,661,921,7,12,19
190919502,11/08/2019,11/08/2019,0005,09,Van Nuys,0911,997,TRAFFIC COLLISION,3004 3036 3034 3030 3028 3101 3401 3701 4026,61,M,W,101,STREET,HART,SEPULVEDA,"(34.1976, -118.4662)",19733,228,295,,3,18
210508714,05/04/2021,05/02/2021,0005,05,Harbor,0515,997,TRAFFIC COLLISION,3006 3028 3030 4025,55,M,H,101,STREET,NEPTUNE,PACIFIC COAST                HY,"(33.7908, -118.2699)",3350,959,641,,15,15
201716588,12/08/2020,12/08/2020,0005,17,Devonshire,1703,997,TRAFFIC COLLISION,3011 3034 3028 3101 4017 3037,,X,X,101,STREET,RESEDA                       BL,SESNON                       BL,"(34.2957, -118.5437)",18905,64,1412,,2,48
201226948,12/23/2020,12/19/2020,0005,12,77th Street,1269,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3101,41,F,H,101,STREET,79TH                         ST,MCKINLEY                     AV,"(33.9675, -118.2608)",22350,791,999,7,13,46
